skill	Id	charclass	skilldesc	*comments	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
Shatters of LoathingMerc	542			def merc uber		28												coldbombmerc	coldbombmerc	coldbombmerc																																																									1	sorceress_cast_cold															28					coldbombmerc												1	9		none		miss										A1	A1	A1					4				1								1						sorceress_cast_cold			45	20								1					1						0	7	0	0	1																								1	synergy									1								8	128														cold	22	14	16	16	18	18	30	14	16	16	18	18	stat('energy'.accr)/3	25								100
FendMerc	543			off merc 1t	37	13																																																																									amazon_jab_1	1												53	21																	1	9		h2h												A1	A1	A1				1		1	1								1											1	20								1					1						0	7	0	0	1										6+blvl/3	max targets	15+lvl*10	damage %					1	additional target/level	20	% frame rollback	0	% damage percent	14	damage % per level							8	damage % per level	1	10	10						8	96																																				100
MightMerc	544			off merc aura		65																73731	might	might		20	damagepercent	50+lvl*12																																																																																	1	1	9		none														xx																										1	20								1											0	8	0	0	1	1	1		50														16	radius	2	additional radius per level	50	% additional damage	15	% additional damage/level							5	damage synergy	1								8																																					100
EarthquakeMerc	545			off merc 3d	6	11												earthcentermerc	earthcentermerc	earthcentermerc																																																										earthquake_cast															19					earthcentermerc	earthcentermerc	earthcentermerc										1	9		h2h												A1	A1	A1				1		1	1								1		1									18	20								1					1						0	7	0	0	1										1	# bolts					stat('strength'.accr)/3																5	damage synergy	1								8	64																																				100
ReflexesMerc	546			passive act2 merc																																											reflexes		item_fastergethitrate	150	item_healonattack	min(15+lvl*4,120)	item_slowthorns	33	energy	50+ulvl																							amazon_dodge_1																															1	0		rng												S1	S1	xx																										1	20								1					1						0	8	0	0	1						1												1	min % dodge	25	max % dodge											0	dodge synergy	1								8																																					100
SpikestormMerc	547			offensive merc uber	6	11												spikespawncenter	spikespawncenter	spikespawncenter																																																										siegebeast_stomp_1											siege_beast_dust				19					spikespawncenter	spikespawncenter	spikespawncenter										1	6		h2h												A1	A1	A1				1		1	1								1		1						siegebeast_stomp_1			45	20								1					1						0	8	0	0	1										1	fire?													1	synergy									1								8	32																																				100
Wall BreakerMerc	548			self buff def act2	39	2																	berserk		37		item_cannotbefrozen	1	item_maxhp_percent	10+blvl																																																	barbarian_grunt_large_1	1																														1	4		h2h		mele										A1	A1	A1				1		1	1								1		1									1	20													1						0	8	0	0	1										50+lvl*8+ulvl	damage%	37	duration			0	convert%	150	Damage % base	30	Damage % per level	25	min vulnerable duration	75	max vulerable duration	0	damage resist bonus	3	armor penalty synergy	5	to hit synergy	12	damage synergy	1			100+lvl*15					8	128																																				100
PrayerMerc	549			act2 def aura		65																73731	prayer	prayer		"min(ln12,60)"	hpregen	"stat('maxhp'.accr)/max(((30-(blvl*3/4))*25),375)"																																																																																		1	7		none														xx																										1	20								1											0	7	0	0	1	1	1		50														16	radius	2	additional radius per level	0		625								2	heal synergy	1								8																																					100
Spectral ShieldMerc	550			mass invulnerability		68												specshieldbuffer					specshield	specshield	40+blvl*2		normal_damage_reduction	10000	magic_damage_reduction	10000																																																paladin_handofgod_cast											shadow_cast				25					specshieldbuffer												1	8		none												A1	A1	A1												1	1				1						paladin_handofgod_cast			18	20								1											0	7	0	0	1																																		1								8																																					100
AstonishmentMerc	551			defensive uber, aoe stun		22												invisstunnovamerc	invisstunnovamerc	invisstunnovamerc																																																														druid_windcast											25					invisstunnovamerc	invisstunnovamerc	invisstunnovamerc										1	10		none												SC	SC	A1					4												36	10								45	20								1											0	7	0	0	1																		24	number of missiles	0	additional missiles per level									25	duration synergy	1		1								8	128	4	4	7	7	7	8	7	4	7	7	7	8																								100
Lightning StrikeMerc	552			act2 combat 1t	10	14												lightningstrikemerc	lightningstrikemerc	lightningstrikemerc						par1																																																																			22					lightningstrikemerc	lightningstrikemerc	lightningstrikemerc										1	8		h2h		mele										A1	A1	A1				1		1	1								1		1									1	20								1					1						0	7	0	0	1										par1	radius	5+blvl/5	hits					12	radius of jump to next target			2	Target hits	1	Target hits per level							5	damage synergy	1								8	96														ltng	8	8	11	14	17	17	31	12	16	21	25	25	stat('energy'.accr)/3									100
ConvictionMerc	553			combat aura act2		66																42371	conviction	conviction		20	skill_armor_percent	-min(25+lvl*2,75)	fireresist	-min(5+blvl,20)	coldresist	-min(5+blvl,20)	lightresist	-min(5+blvl,20)	poisonresist	-min(5+blvl,20)																																																																										1	6		none														xx	5		1																							1	20								1											0	8	0	0	1	1	1		50														6	radius	1	additional radius per level	1	% resist reduction	1	% resist reduction per level	15	% resist reduction	75	% resist reduction per level	20	min % AC reduction	80	max % AC reduction	1								8																																					100
IncinerateMerc	554			spell fire multihit											incinemakermerc											10																																																				sorceress_cast_fire											fire_cast_2								incinemakermerc													1	8		none												SC	SC	A1				1													1						sorceress_cast_fire			18	20								1					1						0	8	0	0	1										3+blvl/5	number of bolts													1	synergy									1								8	96														fire	25	12	12	12	12	12	25	14	16	16	16	16	stat('energy'.accr)/3									100
Rainbow HydraMerc	555			elemental uber	14	144																																											passive_fire_mastery	stat('passive_fire_mastery'.accr)	passive_ltng_mastery	stat('passive_ltng_mastery'.accr)	passive_cold_mastery	stat('passive_cold_mastery'.accr)							hydraelem1	hydra	99	S2	HydraMissilefire	lvl	HydraMissilecold	lvl	HydraMissilelightning	lvl							1	druid_windcast											siege_beast_dust			17																		1	9		none												A1	A1	A1					4												1				1		druid_summon			45	20								1					1						0	8	0	0	1																		125	duration	5	additional duration/level													1								8																																					100
HydraMissilefire	556														hydrafire1																																																															hydrafirecast1																			hydrafire1													1	9		none												SC	SC	SC																										1																								1																																2	damage synergy	1								8															fire	21	21	28	35	42	42	42	21	28	35	42	42	stat('energy'.accr)/2									100
HydraMissilecold	557														hydracold1																																																															hydracoldcast1																			hydracold1													1	9		none												SC	SC	SC																										1																								1																																2	damage synergy	1								8															cold	21	21	28	35	42	42	42	21	28	35	42	42	stat('energy'.accr)/2	50								100
HydraMissilelightning	558					8												hydralightning																																																												hydralightningcast1															17					hydralightning	hydralightning	firecastred										1	9		none												SC	SC	SC																										1																								1										"min(7,2+lvl/6)"	# bolts							3	Bolts to send out	1	Additional bolts per level											2	damage synergy	1								8															ltng	21	21	28	35	42	42	42	21	28	35	42	42	stat('energy'.accr)/2									100
BattleMageMerc	559			passive act3 merc																																											battlemage		item_fastercastrate	75	passive_fire_pierce	min(15+lvl,35)	passive_cold_pierce	min(15+lvl,35)	passive_ltng_pierce	min(15+lvl,35)	energy	90+ulvl*2																																																				1	0		none												S1	S1	xx																										1	20								1					1						0	8	0	0	1						1												1	min % dodge	25	max % dodge											0	dodge synergy	1								8																																					100
Resist FireMerc	560			act3 fire aura		65																73731	resistfire	resistfire		20	item_absorbfire_percent	min(3+blvl/2,15)	maxfireresist	min(1+blvl/5,5)	fireresist	15+lvl*3	passive_fire_mastery	15+lvl*3																																																																											1	1	8		none														xx																										1	20								1											0	8	0	0	1	1	1		50														16	radius	2	additional radius per level	10	abs% and DR%(-5)	1	abs% and DR%/lvl	3	elem dmg bonus	3	elem dmg bonus / lvl			1	absorb synergy	1								8																																					100
Burnt OfferingMerc	561			act3 fire uber		80												burntoffdamagemerc			fire_cast_2	42375				5																																																				sorceress_cast_fire											druid_fire_cast_1				36					burntoffcentermerc												1	6		none												SC	SC	SC					4	1		1							1		1			4						45	20								1					1						0	8	0	0	1										1	fire?													1	synergy									1								5															fire	43	12	16	16	22	22	200	14	16	16	22	24	stat('energy'.accr)/3									100
Fire BallMerc	562			act3 fire main		8												fireballmerc																																																												sorceress_cast_fire											fire_cast_2				17					fireballmerc	fireballmerc	redlightmissile										1	9		none												SC	SC	SC																	1						sorceress_cast_fire			1	20								1					1						0	8	0	0	1										1+blvl/7																								1								8															fire	13	4	6	7	8	9	18	4	6	8	9	10	stat('energy'.accr)/3									100
